               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.099328,             0.12573,            0.085262,          4.2073e-05,            0.025725,          3.0931e-05,          7.6006e-06,            0.091772,            0.038444,            0.083814,            0.070309,            0.003299,            0.003299
                   1,            0.094417,             0.13163,            0.083995,          3.5583e-05,           0.0050607,          3.6096e-05,          8.6796e-06,            0.091407,            0.042019,            0.084189,            0.040244,           0.0065666,           0.0065666
